Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
490,5655.42,254227.6,649.98,3685.4,1968968.0,2383.96,428116.0,0.7085,1.5393,6.0,7.0,8.25,2.84,2.71,1.43,5663.717960281372,237538.422265625,651.3314902591706,3688.8093778133393,1959290.2138671875,2377.638035259247,2377.638035259247,0.7090775117897429,1.5417035267997532,5.962373077869415,6.963155090808868,8.237483964301646,2.8407567458669654,2.665246925354004,2.665246925354004
491,5626.88,160084.5,648.91,3672.4,1803568.0,2399.65,558943.0,0.7090000000000001,1.5195,6.0,7.0,8.25,2.84,2.71,1.43,5639.823021774292,144261.421875,649.6961668467521,3680.0934633255006,1771359.298828125,2410.267256164551,2410.267256164551,0.7107784256488086,1.5280568353533746,6.013212785124779,6.998090982437134,8.232742428779602,2.859437365233898,2.7158322907425463,2.7158322907425463
492,5689.74,157271.6,655.88,3725.1,1922419.0,2381.1,402900.0,0.7118,1.5256,6.0,7.0,8.25,2.9,2.42,1.14,5698.0507481002805,159250.61086425782,656.4285672950745,3729.445586299896,1905453.97265625,2384.847703552246,2384.847703552246,0.7126563903393224,1.5324035502918065,5.981604889035225,6.967464804649353,8.236808673478663,2.909319637902081,2.3696145248413085,2.3696145248413085
493,5485.98,150025.8,633.5,3767.4,1922419.0,2389.98,402900.0,0.7096,1.5146,6.0,7.0,8.25,2.9,2.42,1.14,5494.670034866333,162505.2697265625,634.5201331377029,3775.021102809906,1906599.931640625,2395.066042881012,2395.066042881012,0.709295635138778,1.5107510763969272,5.967368990182877,6.978731393814087,8.238430143333972,2.911071251705289,2.414616317562759,2.414616317562759
494,5549.93,209809.0,641.61,3805.6,1684256.0,2403.85,597231.0,0.7096,1.51,6.0,7.0,8.25,2.9,2.42,1.14,5540.069577865601,211237.4168701172,641.4036581373215,3791.802989578247,1598605.0859375,2385.065221405029,2385.065221405029,0.7090250255986117,1.5026497456617653,5.984651431441307,6.961215436458588,8.251932933810167,2.9114844935014843,2.4181006622547283,2.4181006622547283
495,5553.9,175700.4,650.17,3817.6,1730732.0,2381.18,674687.0,0.7093,1.5153,6.0,7.0,8.25,2.9,2.42,1.14,5560.492035770416,161864.792578125,651.1731464099884,3820.7677408218383,1735778.2719726562,2383.5915633964537,2383.5915633964537,0.7095856265928131,1.5128262379739434,6.020679086446762,6.957541882991791,8.279019145295024,2.9441481247544288,2.457395477294922,2.457395477294922
496,5575.22,163957.1,654.58,3806.0,1661802.0,2415.66,674687.0,0.711,1.4925,6.0,7.0,8.25,2.89,2.21,1.23,5589.952627868653,165890.69521484376,656.2970618772507,3808.6911091804504,1692478.029296875,2421.4315096473692,2421.4315096473692,0.711060447906435,1.490757289873436,6.014429464936256,6.975813567638397,8.281169978901744,2.921068017706275,2.206887397719547,2.206887397719547
497,5474.06,197585.6,644.77,3707.3,1661802.0,2371.83,599867.0,0.7116,1.5243,6.0,7.0,8.25,2.89,2.21,1.23,5492.585386810303,198408.05208740235,646.9299233150482,3720.859142112732,1724667.72265625,2375.712951259613,2375.712951259613,0.7112157397108618,1.518974161542207,5.960503354668617,6.969275534152985,8.248438716051169,2.9041673600301148,2.189614447802305,2.189614447802305
498,5625.44,177015.3,665.42,3776.2,1709172.0,2321.5,555917.0,0.71,1.5137,6.0,7.0,8.25,2.89,2.21,1.23,5632.506219329834,168141.641796875,666.7480757665634,3776.7457452535627,1685418.0,2310.9710636138916,2310.9710636138916,0.7100718112351023,1.510479928682372,5.977610781788826,6.970979630947113,8.226984204724431,2.9117706058174373,2.2042115782760083,2.2042115782760083
499,5778.0,199696.8,678.42,3764.2,1871524.0,2313.02,481110.0,0.7096,1.5090000000000001,6.0,7.0,8.25,2.89,2.21,1.23,5790.773322105408,200089.6916015625,679.2903456521034,3768.8468210220335,1888434.806640625,2321.058204193115,2321.058204193115,0.7101472179036588,1.5083867395678536,5.982191696763039,6.986072659492493,8.23225812613964,2.906803091391921,2.1933127968013286,2.1933127968013286
500,5673.83,134018.0,667.93,3775.7,1871524.0,2334.42,609086.0,0.7082,1.5307,6.0,7.0,8.25,2.89,2.21,1.23,5689.108720855713,130184.99877929688,669.0214407968521,3791.649577331543,1896247.119140625,2351.7805155944825,2351.7805155944825,0.7091892787784339,1.5358140338182449,5.979422762989998,7.014029502868652,8.242475420702249,2.9052960512787105,2.2086225127940997,2.2086225127940997
501,5697.48,145799.1,678.44,3753.4,1871524.0,2326.81,609086.0,0.7095,1.5485,6.0,7.0,8.25,2.75,2.14,1.13,5712.029836158752,153514.39296875,680.0927901887894,3767.869937324524,1823628.8203125,2331.625743923187,2331.625743923187,0.7090368657400832,1.5482518672898877,5.954136833548546,6.9836366176605225,8.220916809514165,2.7538471564184874,2.110375632867217,2.110375632867217
502,5668.29,162635.2,669.04,3769.2,1508992.0,2289.24,376715.0,0.7096,1.5344,6.0,6.75,8.25,2.75,2.14,1.13,5677.712218322754,162705.42284698487,669.9544063591957,3777.9663316726683,1488226.375,2288.716052701473,2288.716052701473,0.7098414994378341,1.5337546638870612,5.983230456709862,6.7231749296188354,8.230810433626175,2.766604382544756,2.144727935884148,2.144727935884148
503,5648.35,136945.1,661.96,3753.2,1841379.0,2291.93,328615.0,0.7106,1.5443,6.0,6.75,8.25,2.75,2.14,1.13,5667.794705429077,156768.09111328126,669.6636025691032,3768.3884726285933,1542253.48828125,2281.916872730255,429781.84375,0.7099339170070831,1.528742430960387,5.987490326166153,6.701255977153778,8.256397634278983,2.7766743153333664,2.118173637762666,1.165700078010559
504,5682.7,198143.2,664.39,3695.5,1647262.0,2284.96,319165.0,0.7086,1.5406,6.0,6.75,8.25,2.75,2.14,1.13,5664.96155128479,131481.7103515625,664.4557840442658,3759.1363231658934,1854930.923828125,2288.1050121116637,353960.625,0.7110598751256708,1.541990980322659,5.970121011137962,6.69127756357193,8.244811192154884,2.777354260906577,2.105533446520567,1.1323111057281494
505,5703.02,154308.4,672.4,3714.1,1549219.0,2271.56,469753.0,0.7076,1.5630000000000002,6.0,6.75,8.25,2.95,2.21,1.33,5684.4443401813505,182117.2029296875,665.3468522572517,3694.604916572571,1689872.6796875,2280.9027661895752,372556.96875,0.7094223552722484,1.5419012951239943,5.999299868941307,6.714658975601196,8.255977376829833,2.7770165484398603,2.1332277677580715,1.1757184267044067
