Week,SG/D,P/D,P/SG,SG/D_Forecast,P/D_Forecast,P/SG_Forecast,%delta_SG/D,%delta_SG/D_Forecast,%delta_P/D,%delta_P/D_Forecast,%delta_P/SG,%delta_P/SG_Forecast,SE_SG/D,SE_P/D,SE_P/SG,APE_SG/D,APE_P/D,APE_P/SG,MAPE,MAPE_SG/D,MAPE_P/D,MAPE_P/SG
171,0.5381,1.6945,3.1490429288236386,0.5399892893567682,1.698467288415879,3.1453721803243218,0.2421758569299493,0.594129909979154,0.9231685527099373,1.1594573207789671,0.6793474801982867,0.5619884692135776,3.569414273597339e-06,1.5739377374767794e-05,1.3474394545236624e-05,0.3511037644988164,0.23412737774440906,0.11656711522469027,,0.299654580807128,0.23016894147055053,0.1115565925630911
172,0.5366,1.695,3.1587774878866943,0.5375639273630455,1.6982289898954332,3.15912006638148,-0.2787585950566915,-0.0996232367505191,0.029507229271181292,0.22006431958886719,0.30912754392624986,0.3200063570300671,9.291559612278774e-07,1.0426375744809627e-05,1.1736002508963224e-07,0.17963610940095298,0.19050087878661873,0.01084528733345155,,0.2825097737969038,0.19543595078804168,0.09401081142393637
173,0.5376,1.713,3.186383928571429,0.5381046191508881,1.7097716310638935,3.1773963095909834,0.18635855385762223,0.2803986490660037,1.061946902654868,0.8714826586367819,0.8739596502317717,0.5894312523021545,2.546404874431025e-07,1.0422365987617819e-05,8.077729493766281e-05,0.09386516943604442,0.18846286842420096,0.28206327868578274,,0.20820168111193793,0.20436370831840958,0.13649189374797485
174,0.5359,1.6795,3.1339802201903337,0.5367391080773436,1.6794091719655553,3.1289115078298972,-0.3162202380952239,-0.16013614632744988,-1.9556333917104545,-1.9609356704287682,-1.6446137551475024,-1.8036878803647036,7.041023654631946e-07,8.249731841089808e-09,2.5691844992841647e-05,0.15657922697211293,0.0054080401574702055,0.16173402524310299,,0.14336016860303677,0.1281239291227633,0.1515475304207791
175,0.5338,1.644,3.0798051704758334,0.5349059090029449,1.6444419087199496,3.0742638677990306,-0.3918641537600281,-0.18549934634356477,-2.113724322715099,-2.0874124013129167,-1.7286340662102266,-1.9054476479011224,1.2230347227944216e-06,1.9528331676753493e-07,3.070603535594133e-05,0.20717665847598854,0.02688009245435805,0.17992380589278031,,0.1525403516280486,0.07358366701200973,0.207907036607222
176,0.5336,1.61,3.017241379310345,0.5349587792636826,1.6098924811370672,3.0093766913273647,-0.03746721618585406,0.2170811659203024,-2.0681265206812536,-2.074666597501991,-2.031420421176252,-2.2867835869496687,1.846281087414001e-06,1.1560305886388136e-08,6.18533170696372e-05,0.25464379004547666,0.006678190244280773,0.2606582302930665,,0.20613322516452603,0.012988774285369676,0.2007720204763166
177,0.5323,1.595,2.996430584256998,0.5329128005334176,1.59509926900384,2.993171241912804,-0.2436281859070405,-0.12878550723057638,-0.931677018633548,-0.9255112419975269,-0.6897292074823627,-0.797753125175657,3.755244937569102e-07,9.854335123374282e-09,1.0623312516657519e-05,0.11512315112109944,0.006223761996234564,0.1087741648786575,,0.19231453321418823,0.013260681564957794,0.1831187336881681
178,0.5304,1.6269999999999998,3.067496229260935,0.5310131501868367,1.6281919446988031,3.066198914520148,-0.35694157430020906,-0.24175273589391194,2.006269592476477,2.0809996676365614,2.3716766668085008,2.328381329095595,3.7595315161790405e-07,1.420732165005406e-06,1.683025536662904e-06,0.1156014681064705,0.07326027650911796,0.04229230107642016,,0.16178946975768219,0.02872074291654443,0.13724156541604807
179,0.5322,1.641,3.0834272829763245,0.532580761368433,1.6406754367020913,3.0806134124831663,0.3393665158371086,0.41115410415404174,0.8604794099569905,0.8405308360228325,0.5193503927868869,0.42761856060673337,1.449792196909811e-07,1.0534133434940605e-07,7.917867152266243e-06,0.07154478925836406,0.019778385003580326,0.09125788400114454,,0.10075646949531132,0.03308747450297762,0.08077478331874073
180,0.5329,1.6425,3.0821917808219177,0.5341451260117814,1.6414155422663317,3.0729767292309385,0.13152950018790566,0.3654877887601331,0.09140767824497603,0.025322502518687992,-0.04006911923067091,-0.3389265510843669,1.5503387852146413e-06,1.176048576113174e-06,8.491717582440901e-05,0.23365096862101603,0.06602482396763391,0.29897722939621535,,0.14026574199528352,0.0530211618267774,0.14417580482459336
